year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k97er279154,ga,4.7,29184,silver,black,"avis budget group",18950,19700,Mon Jan 12 2015 02:00:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em2e5240415,fl,2.8,30912,—,black,"avis budget group",16400,18000,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em0e5208546,az,4.3,62569,gray,black,"dtg operations inc",12950,13300,Thu Jan 08 2015 11:30:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em7e5219995,nv,3.7,65243,red,black,"dtg operations inc",12250,12600,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f78e1158075,fl,4.9,10160,—,tan,"ford motor credit company",21000,21100,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f83eg165312,ny,4.6,16866,black,black,"ford motor credit company",20500,20300,Tue Jan 06 2015 01:50:00 GMT-0800 (PST)
2014,GMC,Terrain,SLE-1,SUV,automatic,2gkalmek8e6159428,tn,4.9,8110,silver,black,"gm financial",20300,21000,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
2014,Ford,Taurus,SE,Sedan,automatic,1fahp2d86eg115765,tn,2.9,36561,black,tan,"enterprise fleet management exchange, inc.",14100,14000,Wed Dec 31 2014 10:30:00 GMT-0800 (PST)
2014,GMC,Acadia,SLT-1,SUV,automatic,1gkkvrkd0ej334176,mi,3.9,22699,white,black,"gm remarketing",29500,29300,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
2014,GMC,Terrain,SLT-2,SUV,automatic,2gkflte38e6300555,fl,2,12684,silver,black,"enterprise vehicle exchange / tra / rental / tulsa",24400,17300,Tue Dec 23 2014 09:00:00 GMT-0800 (PST)
2014,Ford,Taurus,SE,Sedan,automatic,1fahp2d87eg115774,tn,4.8,29936,black,tan,"enterprise fleet management exchange, inc.",14450,15100,Tue Dec 23 2014 10:30:00 GMT-0800 (PST)
2014,GMC,Sierra 1500,SLT,Crew Cab,automatic,3gtu2vec4eg141863,tx,4.4,31048,blue,brown,"winter motor company inc",34500,35300,Wed Dec 31 2014 10:20:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f82eg179296,fl,4.2,20257,—,black,"avis budget group",20100,21200,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f8xeg179319,fl,5,15218,—,black,"avis budget group",21400,21400,Thu Jan 29 2015 01:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f75e1158857,fl,4.9,9773,—,gray,"ford motor credit company",20500,18900,Thu Feb 19 2015 01:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f85eg149550,fl,4.6,29069,—,black,"avis budget group",18850,19700,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Transit Connect,Wagon XLT LWB,Minivan,automatic,nm0ge9f73e1157853,fl,4.4,10592,—,gray,"ford motor credit company",20900,21100,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f86eg161982,ga,3.7,25309,—,black,"avis budget group",19350,18900,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f82eg165415,ga,4.8,14339,silver,black,"ford motor credit company",20800,21500,Sun Jan 12 2014 10:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f83eg153953,ga,4.3,28314,red,black,"easy car leasing llc dba brac of birmingham",18950,19800,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2014,GMC,Sierra 1500,Base,Regular Cab,automatic,1gtn1teh2ez139665,az,3.4,44385,white,gray,"gm financial",15600,16400,Tue Dec 23 2014 11:00:00 GMT-0800 (PST)
2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f81eg110955,fl,2.9,39701,black,black,"international motor sports inc",17200,16700,Tue Dec 23 2014 09:30:00 GMT-0800 (PST)
