year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2014,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k97er279154,ga,4.7,29184,silver,black,"avis budget group",18950,19700,Mon Jan 12 2015 02:00:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em7e5323113,ga,4.6,17738,black,gray,"avis budget group",17700,18600,Sun Jan 12 2014 10:00:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em6e5227151,nv,3.8,63154,black,black,"dtg operations inc",12350,13300,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em7e5323161,fl,4.9,12686,—,gray,"avis budget group",21800,23200,Wed Jan 07 2015 10:00:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em2e5322760,tx,4.1,13392,red,black,"avis budget group",19200,18400,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em5e5217789,nv,3.6,60953,red,black,"dtg operations inc",12650,12900,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em7e5213386,nv,4.3,61935,white,black,"dtg operations inc",12500,13000,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em7e5229409,nv,4.4,61563,white,black,"dtg operations inc",12550,12600,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2014,Ford,Mustang,GT Premium,Coupe,automatic,1zvbp8cf7e5239653,ga,3.3,21573,black,black,"the hertz corporation",25900,27500,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8emxe5208523,nv,3.7,65678,white,black,"dtg operations inc",12250,12700,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
